"Header","Principal Entity Name"
"117411","Pinnacle Tele Services Private Limited"
"117511","Pinnacle Tele Services Private Limited"
"117611","Pinnacle Tele Services Private Limited"
"117711","Pinnacle Tele Services Private Limited"
"117777","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"117811","Pinnacle Tele Services Private Limited"
"117911","Pinnacle Tele Services Private Limited"
"118011","Pinnacle Tele Services Private Limited"
"118111","Pinnacle Tele Services Private Limited"
"118118","Pinnacle Tele Services Private Limited"
"118211","Pinnacle Tele Services Private Limited"
"118311","Pinnacle Tele Services Private Limited"
"118411","Pinnacle Tele Services Private Limited"
"118467","KURMANCHAL NAGAR SAHKARI BANK LTD"
"118511","Pinnacle Tele Services Private Limited"
"118611","Pinnacle Tele Services Private Limited"
"118711","Pinnacle Tele Services Private Limited"
"118811","Pinnacle Tele Services Private Limited"
"118888","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"118911","Pinnacle Tele Services Private Limited"
"119011","Pinnacle Tele Services Private Limited"
"119111","Pinnacle Tele Services Private Limited"
"119119","Pinnacle Tele Services Private Limited"
"119211","Pinnacle Tele Services Private Limited"
"119311","Pinnacle Tele Services Private Limited"
"119351","THE MAHARASHTRA STATE CO OPERATIVE BANK LTD ,MUMBAI"
"119411","Pinnacle Tele Services Private Limited"
"119511","Pinnacle Tele Services Private Limited"
"119611","Pinnacle Tele Services Private Limited"
"119711","Pinnacle Tele Services Private Limited"
"119811","Pinnacle Tele Services Private Limited"
"119911","Pinnacle Tele Services Private Limited"
"119999","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"120000","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"120001","SBI Cards and Payment Services Limited"
"120011","RBL BANK LIMITED"
"120012","AU SMALL FINANCE BANK LIMITED"
"120017","Suryoday Small Finance Bank Limited"
"120115","yash associates"
"120120","Pinnacle Tele Services Private Limited"
"120202","Policyx.com Insurance Web Aggregator Pvt Ltd"
"121021","NIYOGIN FINTECH LIMITED"
"121111","RBL BANK LIMITED"
"121121","Pinnacle Tele Services Private Limited"
"121122","ACE ENTERPRISE"
"121200","AU SMALL FINANCE BANK LIMITED"
"121201","Volkswagen Finance PVT LTD"
"121212","SEWA GRIH RIN IMITED"
"121314","RBL BANK LIMITED"
"121906","SVC Cooperative Bank Limited"
"121977","RDG WEB CORPORATION"
"122001","IFFCOTOKIO GENERAL INSURANCE COMPANY LTD."
"122010","PROEXCEL ACCOUNTING LLP"
"122111","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"122221","NSDL E"
"122222","SHRIRAM TRANSPORT FINANCECOMPANY LIMITED"
"122223","NSDL E"
"122233","Vitrak Fintech Private Limited"
"122285","MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD"
"122288","CC COMMODITY INFO SERVICES LLP"
"122292","Raj Finance Services"
